unix,low,high,open,close,volume,date,vol_fiat
1696896000,27291.81,27739.94,27596.67,27393.29,10265.79357936,2023-10-10,281213860.59954655
1696809600,27268.63,28003.7,27933.54,27596.67,10218.62556021,2023-10-09,282000037.43868047
1696723200,27708.6,28109.94,27976.44,27933.55,4118.56381073,2023-10-08,115046108.135217
1696636800,27861.2,28040.84,27945.17,27976.43,3489.91595717,2023-10-07,97635389.4816495
1696550400,27173.41,28288.88,27413.15,27945.17,12908.75146274,2023-10-06,360737254.1140179
1696464000,27358.05,28140.0,27786.12,27412.96,14136.04592802,2023-10-05,387510861.5829751
1696377600,27208.65,27842.38,27428.96,27786.75,10238.17053376,2023-10-04,284485485.07895565
1696291200,27160.47,27672.12,27504.03,27428.96,14334.10857629,2023-10-03,393169690.77471536
1696204800,27302.3,28613.37,27995.46,27504.04,25148.25341854,2023-10-02,691678567.953661
1696118400,26955.25,28062.62,26961.0,27995.46,8747.06888783,2023-10-01,244878217.16648927
1696032000,26884.86,27097.25,26905.57,26961.0,4413.30948101,2023-09-30,118987236.91751061
1695945600,26661.71,27238.9,27027.44,26907.0,12712.27177691,2023-09-29,342049096.70131737
1695859200,26321.37,27313.86,26357.56,27027.14,18975.87763693,2023-09-28,512863701.5161763
1695772800,26088.37,26830.0,26208.43,26357.62,14123.89690964,2023-09-27,372272307.66346544
1695686400,26080.0,26397.59,26296.07,26208.44,7016.42122845,2023-09-26,183889454.7805581
1695600000,25983.78,26444.95,26248.17,26296.08,10762.98401397,2023-09-25,283024288.67007625
1695513600,26118.86,26731.1,26579.59,26250.24,4587.80529114,2023-09-24,120430989.96569487
1695427200,26513.0,26638.58,26578.4,26579.6,2597.25705711,2023-09-23,69034053.67516096
1695340800,26467.94,26742.86,26564.54,26578.4,8563.0523313,2023-09-22,227592230.08222392
1695254400,26359.7,27163.48,27122.65,26564.54,11801.98943642,2023-09-21,313514420.46335655
1695168000,26798.98,27393.78,27216.52,27123.94,11590.24027633,2023-09-20,314372981.8407583
1695081600,26666.93,27500.0,26764.03,27216.13,14386.07884728,2023-09-19,391533392.0978226
1694995200,26382.13,27427.34,26530.96,26764.49,17493.70820354,2023-09-18,468210178.27656436
1694908800,26405.04,26626.49,26569.69,26530.95,3252.26976131,2023-09-17,86285806.42382754
1694822400,26453.32,26777.0,26601.71,26569.69,4132.04817572,2023-09-16,109787239.0939459
1694736000,26213.96,26892.65,26532.5,26602.42,9345.93913701,2023-09-15,248624598.21717754
